POL o Puerto de origen;NAVIERA FCL;POD o Puerto de destino;DIAS LIBRES;VIGENCIA DESDE ;VIGENCIA HASTA;AGENTE;CONTRATO;TIEMPO DE TRANSITO;MONEDA;20 GP;40 GP;40 HC;40 NOR
XINGANG;Wan Hai Lines Ltd.;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;WSA-001N;38-43;DOLAR;1,318.00;1,518.00;1,518.00;
XINGANG;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,365.00;1,565.00;1,565.00;
XINGANG;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,365.00;1,565.00;1,565.00;
XINGANG;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;14;15/12/2025;21/12/2025;CNS INTERTRANS SHENZHEN CO.,LTD                                                                     ;CNS INTERTRANS;41-48;DOLAR;;;;1,215.00
XINGANG;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;CNS INTERTRANS SHENZHEN CO.,LTD                                                                     ;CNS INTERTRANS;41-48;DOLAR;1,315.00;1,515.00;1,515.00;
XINHUI;Maersk A/S trading as Sealand Americas.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;298430991;35-42;DOLAR;1,760.00;2,150.00;2,150.00;
XINHUI;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;58-65;DOLAR;1,461.00;1,600.00;1,600.00;
YANGZHOU;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;30-33;DOLAR;1,550.00;1,800.00;1,800.00;
YANGZHOU;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;30-33;DOLAR;1,550.00;1,800.00;1,800.00;
YANGZHOU;Maersk A/S trading as Sealand Americas.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;298430991;35-42;DOLAR;1,880.00;2,350.00;2,350.00;
