ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
VALENCIA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;40.00
VALENCIA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;EUROS;45.00
VALENCIA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;EUROS;45.00
VALENCIA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;28-28;EUROS;41.00
VANCOUVER;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;240.00
VANCOUVER;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;240.00
VANCOUVER;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;DOLAR;215.00
VIENA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;95.00
VIGO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;85.00
VILNIUS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;165.00
VILNIUS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;165.00
WARSAW;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;90.00
WARSAW;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;90.00
WENZHOU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;40-40;DOLAR;41.00
WUHAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;41.00
WUHAN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45-45;DOLAR;40.00
XIAMEN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;13.00
XIAMEN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;100.00
XIAMEN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;15.00
XIAOLAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
XINGANG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;42-42;DOLAR;13.00
XINGANG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;130.00
XINGANG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;10.00
YANGJIANG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;120.00
YANGJIANG;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;24.00
YOKOHAMA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;23.00
YOKOHAMA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;130.00
YOKOHAMA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;65-65;DOLAR;30.00
ZHAOQING;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;90.00
ZHAOQING;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;24.00
ZHONGSHAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
ZHONGSHAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;85.00
ZHONGSHAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;30.00
ZHONGSHAN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;23.00
ZHUHAI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
ZHUHAI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;100.00
ZHUHAI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;35.00
ZHUHAI;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;24.00
